,cik_str,ticker,Company
611,832101,IEX,Idex Corp /De/
612,908937,SIRI,Sirius Xm Holdings Inc.
613,1095073,EG,"Everest Group, Ltd."
614,101778,MRO,Marathon Oil Corp
615,1590955,PAYC,"Paycom Software, Inc."
616,1445930,KB,Kb Financial Group Inc.
617,9389,BALL,Ball Corp
618,1374310,CBOE,"Cboe Global Markets, Inc."
619,749098,MGA,Magna International Inc
620,860731,TYL,Tyler Technologies Inc
621,1000697,WAT,Waters Corp /De/
622,912593,SUI,Sun Communities Inc
623,1086222,AKAM,Akamai Technologies Inc
624,1783398,UWMC,Uwm Holdings Corp
625,1810997,XPEV,Xpeng Inc.
626,1015922,CHKP,Check Point Software Technologies Ltd
627,764478,BBY,Best Buy Co Inc
628,1642896,IOT,Samsara Inc.
629,1262823,WLK,Westlake Corp
630,1324404,CF,"Cf Industries Holdings, Inc."
631,1069183,AXON,"Axon Enterprise, Inc."
632,1552033,TRU,Transunion
633,1341766,CELH,"Celsius Holdings, Inc."
634,49196,HBAN,Huntington Bancshares Inc /Md/
635,29989,OMC,Omnicom Group Inc.
636,4127,SWKS,"Skyworks Solutions, Inc."
637,861884,RS,Reliance Steel & Aluminum Co
638,1324424,EXPE,"Expedia Group, Inc."
639,1564408,SNAP,Snap Inc
640,97210,TER,"Teradyne, Inc"
641,922621,ERIE,Erie Indemnity Co
